Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%,-9999
1,Nicholas Abruzzese,22,TOR,C,9,1,0,1,-1,2,0.0,1,0,0,1,0,0,0,8,12.5,92,1013,3,7,2,5,28.6,abruzni01
2,Noel Acciari,30,FLA,C,20,3,5,8,2,11,0.6,3,0,0,1,5,0,0,32,9.4,240,1159,16,48,84,82,50.6,acciano01
3,Calen Addison,21,MIN,D,15,2,2,4,-4,2,0.3,2,0,0,0,2,0,0,17,11.8,207,1347,6,12,0,0,,addisca01
4,Andrew Agozzino,31,OTT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,652,0,4,1,2,33.3,agozzan01
5,Jack Ahcan,24,BOS,D,6,1,0,1,-3,0,0.1,0,1,0,0,0,0,0,5,20.0,96,1602,5,8,0,0,,ahcanja01
6,Sebastian Aho,24,CAR,F,79,37,44,81,18,38,9.5,23,13,1,9,27,15,2,221,16.7,1497,1857,23,76,555,504,52.4,ahose01
7,Sebastian Aho,25,NYI,D,36,2,10,12,-6,10,1.7,2,0,0,0,8,2,0,34,5.9,592,1627,42,32,0,0,,ahose02
8,Alexander Alexeyev,22,WSH,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,1035,0,1,0,0,,alexeal01
9,Wade Allison,24,PHI,RW,1,0,0,0,-1,0,0.0,0,0,0,0,0,0,0,2,0.0,8,816,0,1,0,0,,alliswa01
10,Michael Amadio,25,TOT,C,56,11,7,18,1,15,1.7,11,0,0,2,7,0,0,64,17.2,681,1210,16,42,30,42,41.7,amadimi01
11,Joey Anderson,23,TOR,RW,5,0,0,0,0,0,-0.1,0,0,0,0,0,0,0,10,0.0,44,846,0,3,0,0,,anderjo08
12,Josh Anderson,27,MTL,RW,69,19,13,32,-25,65,2.1,17,2,0,1,12,1,0,151,12.6,1189,1714,35,153,20,22,47.6,anderjo05
13,Michael Anderson,22,LAK,D,57,2,6,8,6,8,2.6,2,0,0,1,6,0,0,58,3.4,1147,2007,69,133,0,0,,andermi02
14,Jaret Anderson-Dolan,22,LAK,C,7,0,0,0,-3,4,-0.3,0,0,0,0,0,0,0,5,0.0,97,1347,3,12,9,7,56.3,anderja01
15,Lias Andersson,23,LAK,C,20,1,1,2,-7,12,-0.3,1,0,0,1,0,1,0,29,3.4,212,1037,3,23,21,26,44.7,anderli01
16,Rasmus Andersson,25,CGY,D,82,4,46,50,30,28,8.6,2,2,0,1,28,17,1,152,2.6,1859,2240,125,63,0,0,,anderra01
17,Andy Andreoff,30,NYI,LW,6,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,60,959,1,11,9,8,52.9,andrean01
18,Anthony Angello,25,PIT,C,4,0,0,0,0,2,0.0,0,0,0,0,0,0,0,2,0.0,27,638,0,13,0,1,0.0,angelan01
19,Mason Appleton,26,TOT,C,68,8,13,21,-1,30,1.2,8,0,0,3,13,0,0,98,8.2,1012,1453,20,64,7,15,31.8,applema01
20,Josh Archibald,29,EDM,RW,8,0,1,1,-2,7,-0.1,0,0,0,0,1,0,0,4,0.0,72,903,2,27,2,2,50.0,archijo01
21,Joel Armia,28,MTL,RW,60,6,8,14,-15,14,0.1,4,1,1,0,6,2,0,103,5.8,823,1343,27,104,3,14,17.6,armiajo01
22,Viktor Arvidsson,28,LAK,LW,66,20,29,49,1,22,5.2,16,4,0,3,25,4,0,227,8.8,1121,1659,45,23,12,21,36.4,arvidvi01
23,Rasmus Asplund,24,BUF,F,80,8,19,27,-5,10,1.6,5,2,1,1,17,2,0,130,6.2,1142,1417,14,30,26,35,42.6,asplura01
24,Zach Aston-Reese,27,TOT,C,69,5,10,15,9,28,0.8,5,0,0,0,10,0,0,78,6.4,900,1302,42,231,4,4,50.0,astonza01
25,Andreas Athanasiou,27,LAK,C,28,11,6,17,7,4,2.4,11,0,0,3,5,1,0,71,15.5,427,1514,10,11,13,7,65.0,athanan01
26,Cam Atkinson,32,PHI,RW,73,23,27,50,-2,10,5.1,18,2,3,6,24,3,0,215,10.7,1332,1815,45,20,5,12,29.4,atkinca01
27,Ronald Attard,22,PHI,D,15,2,2,4,-2,8,0.7,2,0,0,0,2,0,0,16,12.5,249,1636,17,24,0,0,,attarro01
28,Nicolas Aube-Kubel,25,TOT,RW,74,11,12,23,11,47,2.3,11,0,0,2,12,0,0,87,12.6,726,949,18,140,3,9,25.0,aubekni01
29,Mikael Backlund,32,CGY,C,82,12,27,39,16,30,3.0,12,0,0,1,20,7,0,214,5.6,1404,1707,27,62,621,608,50.5,backlmi01
30,Nicklas Backstrom,34,WSH,C,47,6,25,31,-8,12,2.0,5,1,0,1,12,13,0,68,8.8,822,1729,16,16,301,348,46.4,backsni02
31,Brandon Baddock,26,MTL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,824,0,6,0,0,,baddobr01
32,Sven Baertschi,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,1354,0,0,0,0,,baertsv01
33,Kevin Bahl,21,NJD,D,17,1,3,4,-6,10,0.3,1,0,0,0,3,0,0,16,6.3,268,1545,15,28,0,0,,bahlke01
34,Josh Bailey,32,NYI,C,74,14,30,44,-7,6,3.7,12,2,0,1,21,9,0,87,16.1,1250,1653,26,19,43,67,39.1,bailejo01
35,Justin Bailey,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0.0,127,905,6,12,0,1,0.0,baileju01
36,Rudolfs Balcers,24,SJS,LW,61,11,12,23,-3,20,2.0,11,0,0,1,11,0,1,98,11.2,917,1502,43,115,8,12,40.0,balceru01
37,Alexander Barabanov,27,SJS,F,70,10,29,39,-5,14,3.0,8,2,0,1,23,6,0,103,9.7,1203,1711,39,53,0,1,0.0,barabal01
38,Ivan Barbashev,26,STL,C,81,26,34,60,4,40,5.9,21,4,1,2,28,5,1,111,23.4,1332,1626,28,160,131,197,39.9,barbaiv01
39,Riley Barber,27,DET,RW,4,0,0,0,-2,2,-0.1,0,0,0,0,0,0,0,4,0.0,34,827,1,3,0,0,,barberi01
40,Aleksander Barkov,26,FLA,C,67,39,49,88,36,18,10.6,23,12,4,5,34,14,1,214,18.2,1360,2018,42,50,713,539,56.9,barkoal01
41,Alex Barre-Boulet,24,TOT,F,16,3,3,6,0,4,0.6,3,0,0,0,2,1,0,16,18.8,176,1100,3,10,6,9,40.0,barreal01
42,Tyson Barrie,30,EDM,D,73,7,34,41,3,18,5.7,4,3,0,0,15,18,1,149,4.7,1384,1858,73,27,0,0,,barrity01
43,Justin Barron,20,TOT,D,7,1,1,2,-3,0,0.2,1,0,0,0,1,0,0,13,7.7,120,1711,5,5,0,0,,barroju01
44,Morgan Barron,23,TOT,C,27,2,3,5,-4,8,0.1,2,0,0,0,3,0,0,33,6.1,265,948,8,49,30,24,55.6,barromo01
45,Mathew Barzal,24,NYI,C,73,15,44,59,-15,18,4.9,14,1,0,1,25,19,0,161,9.3,1315,1801,17,36,234,271,46.3,barzama01
46,Nathan Bastian,24,TOT,RW,72,12,6,18,-12,65,1.1,9,3,0,1,5,1,0,97,12.4,857,1154,40,210,23,25,47.9,bastina01
47,Drake Batherson,23,OTT,C,46,17,27,44,4,32,4.9,14,3,0,3,16,11,0,110,15.5,871,1856,15,89,18,25,41.9,bathedr01
48,Gavin Bayreuther,27,CBJ,D,43,0,8,8,0,22,1.1,0,0,0,0,8,0,0,44,0.0,561,1303,45,50,0,0,,bayrega01
49,Jay Beagle,36,ARI,RW,33,1,1,2,-20,27,-1.2,1,0,0,0,1,0,0,24,4.2,455,1347,16,50,265,199,57.1,beaglja01
50,Jake Bean,23,CBJ,D,67,7,18,25,-5,26,3.6,7,0,0,2,13,4,1,90,7.8,1378,2034,71,41,0,0,,beanja01
51,Ethan Bear,24,CAR,D,58,5,9,14,1,20,2.9,5,0,0,2,8,1,0,97,5.2,933,1605,41,55,0,0,,bearet01
52,Nicolas Beaudin,22,CHI,D,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,12,610,1,0,0,0,,beaudni01
53,Nathan Beaulieu,29,WPG,D,24,0,4,4,-7,25,0.1,0,0,0,0,3,0,1,24,0.0,258,1046,19,19,0,0,,beaulna01
54,Anthony Beauvillier,24,NYI,LW,75,12,22,34,-10,12,2.4,7,5,0,1,16,6,0,154,7.8,1263,1650,20,39,4,6,40.0,beauvan01
55,Adam Beckman,20,MIN,LW,3,0,1,1,-1,2,0.0,0,0,0,0,1,0,0,4,0.0,31,1025,1,1,0,0,,beckmad01
