Player,cap_hit,player_id
Darnell Nurse,9250000,nurseda01
Adam Fox,9500000,foxad01
Kirill Kaprizov,9000000,kapriki01
Filip Forsberg,8500000,forsbfi01
Mathew Barzal,7000000,barzama01
Timo Meier,6000000,meierti01
Alex DeBrincat,6400000,debrial01
Cale Makar,9000000,makarca01
Ryan Johansen,8000000,johanry01
Jacob Markstrom,6000000,marksja02
Elias Pettersson,7350000,petteel01
Johnny Gaudreau,9750000,gaudrjo01
Colton Parayko,6500000,parayco01
Anthony Cirelli,4800000,cirelan01
Mikhail Sergachev,4800000,sergami01
Claude Giroux,6500000,giroucl01
Jack Hughes,8000000,hugheja03
Josh Anderson,5500000,anderjo05
Miro Heiskanen,8450000,heiskmi01
John Klingberg,7000000,klingjo01
Anze Kopitar,10000000,kopitan01
Drew Doughty,11000000,doughdr01
Andrei Svechnikov,7750000,svechan01
Nathan MacKinnon,6300000,mackina01
Brock Boeser,6650000,boesebr01
Brady Tkachuk,8205714,tkachbr01
Blake Wheeler,8250000,wheelbl01
Neal Pionk,5875000,pionkne01
Quinn Hughes,7850000,hughequ01
Anthony Mantha,5700000,manthan01
Evgeni Dadonov,5000000,dadonev01
John Gibson,6400000,gibsojo02
Andre Burakovsky,5500000,burakan01
Philipp Grubauer,5900000,grubaph01
Ryan Pulock,6150000,pulocry01
Bryan Rust,5125000,rustbr01
Jared Spurgeon,7575000,spurgja01
Jaden Schwartz,5500000,schwaja01
Jacob Trouba,8000000,troubja01
Igor Shesterkin,5666667,shestig01
Pierre-Luc Dubois,6000000,duboipi01
Mikko Rantanen,9250000,rantami01
Valeri Nichushkin,6125000,nichuva01
Erik Johnson,6000000,johnser01
Jordan Staal,6000000,staaljo01
Jordan Binnington,6000000,binnijo01
Rickard Rakell,5000000,rakelri01
Taylor Hall,6000000,hallta02
Charlie McAvoy,9500000,mcavoch01
Sam Reinhart,6500000,reinhsa01
Sergei Bobrovsky,10000000,bobrose01
Nick Suzuki,7875000,suzukni01
William Karlsson,5900000,karlswi01
Kevin Labanc,4725000,labanke01
Anders Lee,7000000,leean01
Justin Faulk,6500000,faulkju01
Adam Henrique,5825000,henriad01
Rasmus Dahlin,6000000,dahlira01
Tomas Hertl,8137500,hertlto01
Jonathan Drouin,5500000,drouijo01
Joe Pavelski,5500000,paveljo01
Mattias Ekholm,6250000,ekholma01
Patrik Laine,8700000,lainepa01
Mark Scheifele,6125000,scheima01
Jaccob Slavin,5300000,slavija01
Pavel Buchnevich,5800000,buchnpa01
Ryan McDonagh,6750000,mcdonry01
Jesper Bratt,5450000,brattje01
Brady Skjei,5250000,skjeibr01
Travis Sanheim,4675000,sanhetr01
Mikael Backlund,5350000,backlmi01
Elvis Merzlikins,5400000,merzlel01
Jakob Silfverberg,5250000,silfvja01
Oliver Bjorkstrand,5400000,bjorkol01
Dylan Larkin,6100000,larkidy01
Ryan Nugent-Hopkins,5125000,nugenry01
