id,title,parent_id
1,Все категории,0
114,Урбеч,1913
115,Варенье и джемы,328
128,Сухие завтраки,2475
131,Масла,2475
132,Супы,2475
133,Соусы,2475
134,Приправы,14283
135,"Сахар, соль",2475
136,Мука,2475
138,Домашняя лапша,2475
142,Макароны,2475
143,Чай с добавками,2478
326,Орехи,2481
328,"Мед, варенье, сладкая консервация",1821
329,"Бальзамы, тоники, эликсиры",1913
356,Шоколад,2483
366,Хлебцы,1913
369,Батончики,2483
371,Мед и продукты пчеловодства,328
531,Мясные консервы,2475
553,Травяные сборы,0
555,Цикорий,2478
1754,Табак,0
1821,Продукты питания,1
1892,Другое,2483
1913,Здоровое питание,1821
1915,"Шоколадная, ореховая паста",2483
2000,   Игры и софт,0
2475,Бакалея,1821
2476,Снеки,1821
2477,Консервированные овощи,2475
2478,"Чай, кофе, горячие напитки",1821
2480,"Вода, соки, напитки",1821
2481,"Орехи, сухофрукты, семечки",1821
2483,"Шоколад, конфеты, сладости",1821
2570,Влажные салфетки,10916
2571,Зубные нити,11454
2572,Электрические зубные щетки,11454
2573,Насадки для электрических зубных щеток и ирригаторов,11454
2574,Аксессуары для электрических зубных щеток и ирригаторов,11454
2575,Аксессуары,10192
2576,Игрушки для купания,10216
2577,Прочее,10216
2578,Детские зубные пасты,10064
2579,Детские наборы,10064
2580,Деревянные,12123
2581,Магнитные,12123
2582,Блочные,12123
2583,Металлические,12123
2584,Деревянные игрушки,10162
2585,Кукольные домики,10162
2586,Игрушки - антистресс,10162
2587,Фигурки и аксессуары,10162
2588,Сюжетно-ролевые игры,10943
2589,Декор и освещение,11419
2590,Матрасы для плавания,10584
2591,Игры на улице,10217
2592,Воздушные змеи,2591
2593,Бумеранги,2591
2594,Фрисби,2591
2595,Спортивные игры,2591
2596,Песочницы,2591
2597,Прочее,2591
2598,Комбинезоны домашние,10418
2599,Купальники,11351
2600,Пляжная одежда,11351
2601,Майки и топы бельевые,11351
2602,Корректирующее белье,11351
2603,Комбинезоны домашние,10445
2604,Майки и футболки,10937
2605,Колготки,10416
2606,Часы и ремешки,10023
2607,Часы,2606
2608,Ремешки для часов,2606
2609,Часы и ремешки,10021
2610,Часы,2609
2611,Запчасти,10131
2614,Пеналы,14369
2615,Прочее,10132
2617,Аксессуары для обуви,10013
2621,Щетки металлические,10690
2622,Светомузыка,10127
2625,Аксессуары для туризма и отдыха,11068
2626,Поисково-измерительные приборы,11068
2627,Котелки и костровые треноги,11068
2628,Походная посуда,11068
2629,Фляги,11068
2631,Спонжи и аппликаторы,11328
2632,Пинцеты,11328
2633,Прочее,11328
2634,Дневные кремы,10648
2635,Ночные кремы,10648
2636,Кремы для глаз,10648
2637,Коронки,2611
2638,Переходники и адаптеры,2611
2639,Полировальные насадки,2611
2640,Опорные пластины,2611
2641,Метчики,10690
2642,Мелкие инструменты,10690
2645,Патроны и переходники,10127
2650,Аксессуары для линз,11329
2651,"Салфетки, спреи для очков",11329
2652,Компрессионные чулки,13620
2653,Компрессионные колготки,13620
2654,"Компрессионные гольфы, гетры, носки",13620
2655,Прочее,13620
2656,"Ортопедические стельки и полустельки, корректоры стопы",10639
2657,Медицинские приборы,10009
2658,"Кварцевые лампы, рециркуляторы и облучатели",2657
2659,Медицинские браслеты и пульсоксиметры,2657
2660,Глюкометры и аксессуары,2657
2661,Ингаляторы и аксессуары,2657
2662,Глина,10476
2663,Скрабы и пилинг,10137
2664,Термометры медицинские,2657
2665,Прочее,2657
2666,Медицинские изделия и расходные материалы,10009
2667,Аптечки,2666
2668,"Аптечки, сумки для медикаментов",2667
2669,Таблетницы,2667
2670,Дезинфицирующие средства,2666
2671,Перчатки медицинские,2666
2672,Маски для ног,10918
2673,Ароматерапия,10012
2674,Эфирные масла,2673
2675,Воск для волос,13817
2676,Кондиционер для волос,13817
2677,Шампунь для волос,13817
2678,Сыворотка для волос,13817
2680,Расчески,10826
2681,Бальзамы,10826
2682,Бальзамы до и после бритья,10447
2683,Лосьоны до и после бритья,10447
2684,Кремы для тела,10447
2685,Тоники,10447
2686,"Эмульсия, флюид",10447
2688,"Скрабы, пилинги",10447
2689,Детские наборы,10163
2690,Наборы для маникюра и педикюра,10163
2691,Праймеры и обезжириватели,10113
2692,Материалы для наращивания ногтей,10113
2693,Аксессуары для маникюра и педикюра,10355
2694,Маски гигиенические и медицинские,2666
2695,Перевязочные материалы,2666
2696,Пластыри,2695
2697,Бинты,2695
2698,Марли,2695
2699,Вата,2695
2702,"Гели, мази",2666
2703,Грелки,2666
2704,Расходные материалы,2666
2705,Одноразовая одежда,2704
2706,"Шприцы, инъекторы, пипетки, дозаторы",2704
2707,"Контейнеры для анализов, губки, жгуты, мерные стаканы медицинские",2704
2708,Диагностические тесты,2666
2709,Медицинские инструменты,2666
2710,Прочее,2666
2711,Витамины,14394
2712,Укрывной материал,10105
2713,Защита растений от вредителей и болезней,10105
2714,Средства от сорняков,10105
2715,Опоры и подвязки для растений,10105
2716,Опрыскиватели и аксессуары,10105
2717,Обустройство дачи и сада,10006
2719,Садовые светильники,2717
2720,"Биотуалеты, септики и аксессуары",2717
2721,Души и рукомойники,2717
2722,Антимоскитные сетки,2717
2723,Садовые дорожки и ограждения,2717
2724,Прочие товары для обустройства,2717
2725,"Шпажки, канапе",10282
2726,Зубочистки,10282
2727,Коробки и контейнеры,10282
2728,Пакеты фасовочные,10282
2729,Консервные ножи и открывашки,10890
2730,"Термометры, барометры",10191
2731,Сушилки для белья,12823
2732,Доски гладильные и чехлы,12823
2733,Ролики для чистки одежды,12823
2734,Прищепки бельевые,12823
2735,Машинки для удаления катышек,12823
2736,Аксессуары для стирки и глажки,12823
2737,Наборы для ванной комнаты,12842
2738,Коврики резиновые,12842
2739,Ершики для унитаза,12842
2740,Полки и подставки,12842
2741,"Диспенсеры, дозаторы",12842
2742,"Мыльницы, стаканы",12842
2743,Шторы и карнизы,12842
2744,Крючки и держатели,12842
2745,Сиденье на унитаз,12842
2746,Пробки для ванны и раковины,12842
2747,Новогодние сувениры и подарки,10508
2748,Маски,13534
2749,Карнавальные костюмы,13534
2750,Парики и аксессуары,13534
2751,Аквагрим,13534
2752,Спицы и крючки,13330
2753,Прочие аксессуары для вязания,13330
2754,Пряжа,13330
2755,Декоративные ленты,12440
2756,Технические ленты,12440
2757,Нитки,12440
2758,Иглы,12440
2759,Ножницы,12440
2760,Молнии,12440
2761,Фурнитура,12440
2762,Шнуры и шнурки,12440
2763,Украшения,12440
2764,Принадлежности для швейных машин,12440
2765,Прочие аксессуары,12440
2766,Инструменты,12440
2767,Ткани,12440
2768,Кожевенное дело,10213
2769,Создание украшений,10213
2770,Создание гобеленов,10213
2771,Плетение,10213
2772,Пэчворк и квилтинг,10213
2773,Прочие хобби,10008
2774,"Выжигание, поделки из дерева",2773
2775,Скрапбукинг,2773
2776,Декупаж,2773
2777,Мыловарение,2773
2778,Эпоксидная смола,2773
2780,Кальяны и аксессуары,2779
2781,Товары для самокруток,2779
2782,Пепельницы,2779
2783,Портсигары и хьюмидоры,2779
2784,Бонги и аксессуары,2779
2785,Подарочные наборы для курения,2779
2786,Смеси для кальяна,2780
2787,Уголь,2780
2788,Калауды,2780
2789,Колбы,2780
2790,Мундштуки,2780
2791,Чаши,2780
2792,Шахты,2780
2793,Шланги,2780
2794,Шила,2780
2795,Щипцы,2780
2796,Кальяны,2780
2797,Дизайн,10475
2799,Прочие аксессуары и запчасти для бытовой техники,10004
2800,Зарядные устройства для планшетов и электронных книг,10487
2801,Аксессуары для планшетов и электронных книг,10487
2802,Кабели и зарядные устройства,10141
2803,Проводные наушники,11157
2804,Прочая электротехника,10641
2805,Картридеры,11087
2807,Спортивная одежда,10014
2808,Женщинам,2807
2809,Мужчинам,2807
2810,Девочкам,2807
2811,Мальчикам,2807
2812,Одежда для спорта,2808
2814,Спортивные аксессуары,2808
2815,Одежда для спорта,2809
2817,Спортивные аксессуары,2809
2818,Одежда для спорта,2810
2820,Спортивные аксессуары,2810
2821,Одежда для спорта,2811
2823,Спортивные аксессуары,2811
2824,Спортивные костюмы,2812
2825,Спортивные брюки,2812
2826,Спортивные куртки,2812
2827,Спортивные футболки и топы,2812
2828,Спортивные носки и гольфы,2812
2829,Спортивные шорты,2812
2830,Спортивные платья и юбки,2812
2831,Спортивные толстовки,2812
2832,Спортивные купальники,2812
2833,Спортивные леггинсы,2812
2834,Головные уборы,2814
2835,Сумки и рюкзаки,2814
2837,Спортивные костюмы,2815
2838,Спортивные брюки,2815
2839,Спортивные куртки,2815
2840,Спортивные шорты,2815
2841,Спортивные майки и футболки,2815
2842,Спортивные носки и гольфы,2815
2844,Спортивные толстовки,2815
2846,Рашгарды,2815
2847,Головные уборы,2817
2848,Сумки и рюкзаки,2817
2850,Спортивные брюки,2818
2851,Спортивные костюмы,2818
2852,"Спортивные шорты, юбки",2818
2854,Спортивные толстовки,2818
2855,Спортивные футболки,2818
2856,Спортивные леггинсы,2818
2857,Спортивные брюки,2821
2858,Спортивные костюмы,2821
2860,Спортивные толстовки,2821
2861,Спортивные футболки,2821
2862,Спортивные шорты,2821
2864,Ложки для обуви,12823
2865,Сушилки для обуви,12823
2866,Щетки и губки для обуви,11403
2867,"Ремешки, застежки для часов",2609
2875,Тонометры и аксессуары,2657
2876,Дождевики,10956
2877,Дождевики,10940
2878,Досуг и развлечения,10007
2879,Лепка,10008
2880,Глина полимерная,2879
2881,Гипс и масса для лепки,2879
2882,Инструменты,2879
2883,Мыльные пузыри,2878
2884,Капли для животных,10061
2885,Пасты и гели,10061
2886,Средства от блох и клещей,10061
2888,Суспензии,10061
2889,Спреи,10061
2890,Прочие аксессуары,2780
2891,Фехтование,10136
2892,Промышленные и строительные пылесосы ,10040
2894,Мебель,10018
2895,Пуфики и банкетки,2894
2896,Столы,2894
2897,Стулья и табуретки,2894
2898,Журнальные столики,2894
2899,Станки и комплектующие,10131
2900,Учебно-методическая литература,10778
10002,Автотовары,1
10003,Аксессуары,1
10004,Бытовая техника,1
10005,Бытовая химия и личная гигиена,1
10006,"Дача, сад и огород",1
10007,Детские товары,1
10008,Хобби и творчество,1
10009,Здоровье,1
10010,Канцтовары,1
10011,Книги,1
10012,Красота,1
10013,Обувь,1
10014,Одежда,1
10015,Спорт и отдых,1
10016,Строительство и ремонт,1
10018,Товары для дома,1
10019,Зоотовары,1
10020,Электроника,1
10021,Мужские аксессуары,10003
10022,Аксессуары для путешествий,10003
10023,Женские аксессуары,10003
10024,Аксессуары для девочек,10003
10025,Техника для дома,10004
10026,Аксессуары для мальчиков,10003
10027,Крупная бытовая техника,10004
10028,Товары для кухни,10004
10029,Климатическая техника,10004
10030,"Ноутбуки, планшеты и электронные книги",10020
10031,"Пикник, барбекю, гриль",10006
10032,Техника для приготовления десертов,10028
10033,"Кошельки, ключницы и визитницы",10021
10034,Одежда для беременных,10014
10035,Блендеры и миксеры,10028
10036,Уборка снега,10006
10039,"Отдых на природе, рыбалка и охота",10015
10040,Строительное оборудование,10016
10041,Парники и теплицы,10006
10044,Смартфоны и телефоны,10020
10045,Платки и шарфы,10023
10046,Спортивная защита и экипировка,10015
10047,Для птиц,10019
10048,Аксессуары для кухонной техники,10028
10049,Текстиль,10018
10051,Для рыб и рептилий,10019
10052,Мужская одежда,10014
10053,Для кошек,10019
10055,Садовый инструмент,10006
10056,Кофемашины и кофеварки,10028
10057,Семена и саженцы,10006
10058,Товары для комнатных растений,10018
10059,Носовые платки и повязки,10024
10060,Сумки и рюкзаки,10023
10061,Ветаптека,10019
10062,Швейные машины и аксессуары,10025
10064,Гигиена и подгузники,10007
10066,Спортивное питание,10015
10067,Шарфы и платки,10024
10068,Для собак,10019
10070,Уход за телом,10012
10072,Ручной инструмент и оснастка,10016
10073,Аксессуары для электроники,10020
10074,Компьютерная техника,10020
10075,Ювелирные украшения,10021
10078,Отделочные материалы,10016
10079,Прочая кухонная техника,10028
10080,Головные уборы,10023
10081,Сумки и рюкзаки,10021
10082,Бижутерные украшения,10026
10083,Товары для кормления,10007
10084,Парфюмерия,10012
10085,Автозапчасти,10002
10086,Офисная техника,10020
10087,"Галстуки и бабочки, карманные платки",10026
10090,Музыкальные инструменты,10008
10091,Макияж,10012
10092,Зимний спорт,10015
